sample,timestamp_py,sensor_id_py,q0_py,q1_py,q2_py,q3_py,timestamp_c,sensor_id_c,q0_c,q1_c,q2_c,q3_c,quat_distance
36,3231900725,1,0.998597694542806,-0.050832272620996,-0.014491748095117,0.002951906354369,3231900725,1,0.998286366462708,-0.055243194103241,-0.019099636003375,0.002782094292343,2.039925822516775e-05
37,3311901125,1,0.998586671613564,-0.050998607642779,-0.014649171534363,0.003033655814297,3311901125,1,0.998239934444427,-0.055859081447124,-0.019715806469321,0.002846964169294,2.47140730766926e-05
38,3391901525,1,0.998577873701299,-0.051130258758455,-0.014772039329339,0.00311667251072,3391901525,1,0.998192727565765,-0.056474924087524,-0.020331963896751,0.002911831950769,2.983128439681959e-05
39,3491902025,1,0.998571471971653,-0.051223061796727,-0.014864861968197,0.003201434553671,3491902025,1,0.998143911361694,-0.05710132792592,-0.020958768203855,0.002977082272992,3.598021255390993e-05
40,3571902425,1,0.99856749676294,-0.051279172579497,-0.014919531728427,0.003287619376225,3571902425,1,0.998094320297241,-0.057727683335543,-0.021585555747151,0.003042330499738,4.317680255305767e-05
41,3651902825,1,0.998565904062421,-0.051302836440531,-0.014926888300113,0.003367821674494,3651902825,1,0.998044013977051,-0.058353822678328,-0.022212790325284,0.003099601715803,5.1553522512515215e-05
42,3821905350,1,0.998567699051731,-0.051272660402465,-0.014893016766827,0.003444235382334,3821905350,1,0.997992634773254,-0.058982446789742,-0.022842982783914,0.003151650773361,6.154810722880377e-05
43,3901904075,1,0.998572066395921,-0.051204199702598,-0.014819057015704,0.003514782463059,3901904075,1,0.997939884662628,-0.059618789702654,-0.023481626063585,0.003196012228727,7.316597637974098e-05
44,3981904475,1,0.998579835946399,-0.051083761467408,-0.014693274296066,0.003587233762244,3981904475,1,0.997886300086975,-0.060255084186792,-0.024120250716805,0.003240371122956,8.677638962639733e-05
45,4061919900,1,0.998592736788803,-0.050889123164836,-0.014463961786896,0.003692828941236,4061919900,1,0.997835218906403,-0.060852374881506,-0.024716932326555,0.003315174719319,0.00010252674997357492
46,4161906175,1,0.998610240214874,-0.050620907156049,-0.014163005263813,0.003810666423123,4161906175,1,0.997784495353699,-0.061436634510756,-0.025299621745944,0.003400125307962,0.00012093182131100999
47,4241906575,1,0.998632266003192,-0.050275334437959,-0.013802202201761,0.003935385478314,4241906575,1,0.997733592987061,-0.062015693634748,-0.025876631960273,0.003490195609629,0.00014229165820112133
48,4321906975,1,0.998658064995559,-0.049867068509014,-0.013371554284123,0.004067706192696,4321906975,1,0.997682392597198,-0.062589548528194,-0.026447962969542,0.003585385391489,0.0001670403574269841
49,4401907375,1,0.998687162898872,-0.049399940766978,-0.012881683723811,0.004202230081871,4401907375,1,0.997630596160889,-0.063163369894028,-0.027019275352359,0.003680573077872,0.00019534319312164428
50,4481907775,1,0.998718728639645,-0.048886030683474,-0.012341730572985,0.004328828350733,4481907775,1,0.99757719039917,-0.063747443258762,-0.027601910755038,0.003765515517443,0.00022766160132570157
51,4561908175,1,0.998752955799744,-0.048318225687112,-0.011747922750044,0.004457427372651,4561908175,1,0.997523069381714,-0.064331471920013,-0.028184525668621,0.003850455163047,0.0002642306430222785
52,4641908575,1,0.998788527252642,-0.047711827809518,-0.011136419385239,0.004586881168027,4641908575,1,0.997467756271362,-0.064920745790005,-0.02877245657146,0.003935584798455,0.00030468708441033776
53,4721908975,1,0.998825857535294,-0.047061870734498,-0.010479641352602,0.004718448788976,4721908975,1,0.997411251068115,-0.065515272319317,-0.029365699738264,0.004020904190838,0.00034986612767740066
54,4821909475,1,0.998865593446164,-0.046355185586082,-0.009757132755204,0.004849882382011,4821909475,1,0.997354090213776,-0.066109672188759,-0.029959097504616,0.004103564657271,0.00040057198179932474
55,4901909875,1,0.998906471649444,-0.045608351842339,-0.008999572296627,0.004974619338406,4901909875,1,0.997296154499054,-0.066703781485558,-0.030553001910448,0.004178253002465,0.0004564184168245333
56,4981910275,1,0.998948316750787,-0.044821344468249,-0.008203007672038,0.005100804442466,4981910275,1,0.99723756313324,-0.067297846078873,-0.031146883964539,0.004252939019352,0.0005176434279561271
57,5061910675,1,0.99899056854971,-0.043999337039046,-0.007381612082015,0.005235846820047,5061910675,1,0.997178256511688,-0.067892111837864,-0.031740203499794,0.004335589241236,0.0005841243201519797
58,5141911375,1,0.9990330778066,-0.043144077773479,-0.006527619349344,0.005374773202554,5141911375,1,0.997118175029755,-0.068486414849758,-0.032333321869373,0.004420891869813,0.000656356545802872
59,5221911750,1,0.99907488502958,-0.042275349243516,-0.005637380060132,0.005512612405055,5221911750,1,0.997057139873505,-0.069083221256733,-0.032929271459579,0.004503632429987,0.0007342737091384777
60,5301912175,1,0.999115989107517,-0.041388201417968,-0.004733666498438,0.005643535644825,5301912175,1,0.99699455499649,-0.069687649607658,-0.033533744513988,0.004578692372888,0.000817974994980486
61,5381912550,1,0.999156322805681,-0.040481913775447,-0.003808394953891,0.005775238729385,5381912550,1,0.996931254863739,-0.070292018353939,-0.034138195216656,0.004653748590499,0.0009073896346922794
62,5481913075,1,0.999195285315545,-0.039568834541408,-0.002883280963793,0.005897103280833,5481913075,1,0.996866166591644,-0.070906549692154,-0.034754037857056,0.004718566313386,0.001002305189721997
63,5561913475,1,0.999233025217424,-0.038643877007313,-0.001943646670011,0.006019495186606,5561913475,1,0.996800303459167,-0.071521021425724,-0.035369854420424,0.004783380776644,0.0011028276441134022
