sample_idx,timestamp,sensor_id,sensor_data,q0,q1,q2,q3
1882,13561953775,1,[-57;-57;5],0.9875649213790894,-0.1273984760046005,-0.0913721770048141,0.0116720777004957
1894,13641954150,1,[-57;-57;4],0.9874311685562134,-0.1279956251382828,-0.0919724553823471,0.0117439217865467
1906,13721954575,1,[-57;-57;4],0.9872967004776001,-0.1285919547080994,-0.0925736874341965,0.0118078682571650
1918,13821955075,1,[-57;-57;4],0.9871615767478943,-0.1291881799697876,-0.0931748524308205,0.0118718054145575
1930,13901955475,1,[-57;-57;4],0.9870256781578064,-0.1297843158245087,-0.0937759429216385,0.0119357341900468
1942,13981955875,1,[-57;-57;4],0.9868890047073364,-0.1303803622722626,-0.0943769663572311,0.0119996536523104
1954,14061956275,1,[-58;-58;3],0.9867505431175232,-0.1309809982776642,-0.0949839353561401,0.0120584992691875
1966,14141956675,1,[-58;-58;3],0.9866101741790771,-0.1315862238407135,-0.0955968499183655,0.0121122719720006
1978,14221957075,1,[-58;-58;3],0.9864690303802490,-0.1321913301944733,-0.0962096899747849,0.0121660353615880
1990,14301957450,1,[-58;-58;4],0.9863269925117493,-0.1327973753213882,-0.0968210473656654,0.0122302975505590
2002,14401957975,1,[-58;-58;4],0.9861842393875122,-0.1334033161401749,-0.0974323302507401,0.0122945513576269
2014,14481958375,1,[-59;-59;4],0.9860388636589050,-0.1340169459581375,-0.0980515182018280,0.0123590826988220
2026,14661961875,1,[-59;-59;3],0.9858921170234680,-0.1346327811479568,-0.0986736491322517,0.0124210733920336
2038,14741959675,1,[-59;-59;3],0.9857446551322937,-0.1352477371692657,-0.0992967709898949,0.0124751785770059
2050,14821960075,1,[-59;-59;3],0.9855964779853821,-0.1358625888824463,-0.0999198183417320,0.0125292725861073
2062,14901960475,1,[-55;-55;6],0.9854546785354614,-0.1364494264125824,-0.1005065441131592,0.0126137072220445
2074,14981960875,1,[-55;-55;6],0.9853146672248840,-0.1370258033275604,-0.1010825708508492,0.0126977507025003
2086,15091961425,1,[-55;-55;7],0.9851739406585693,-0.1376028954982758,-0.1016574278473854,0.0127896573394537
2098,15171961825,1,[-55;-55;7],0.9850324392318726,-0.1381801515817642,-0.1022318527102470,0.0128841791301966
2110,15251962225,1,[-55;-55;6],0.9848902821540833,-0.1387570500373840,-0.1028065755963326,0.0129760680720210
2122,15331962625,1,[-55;-55;6],0.9847475886344910,-0.1393330395221710,-0.1033823341131210,0.0130600798875093
2134,15411963025,1,[-55;-55;6],0.9846042394638062,-0.1399089097976685,-0.1039580181241035,0.0131440823897719
2146,15491963425,1,[-55;-55;6],0.9844601750373840,-0.1404847055673599,-0.1045336350798607,0.0132280755788088
